%	%
%/min	%/min
(L/d)/(kg/m2)	(L/day)/(kg/m2)
(L/d)/(mg/d)	(L/day)/(mg/day)
(L/d)/(mg/kg/d)	(L/day)/(mg/kg/day)
(L/d)/(mg/m2/d)	(L/day)/(mg/m2/day)
(L/d)/(ug/d)	(L/day)/(ug/day)
(L/d)/(ug/kg)	(L/day)/(ug/kg)
(L/d)/(ug/m2)	(L/day)/(ug/m2)
(L/d)/(ug/m2/d)	(L/day)/(ug/m2/day)
(L/d)/ug	(L/day)/ug
(L/h)/(mg/kg/d)	(L/h)/(mg/kg/day)
(L/h)/(mg/m2)	(L/h)/(mg/m2)
(L/h)/(mg/m2/d)	(L/h)/(mg/m2/day)
(L/h)/(ug/m2)	(L/h)/(ug/m2)
(L/h)/(ug/m2/d)	(L/h)/(ug/m2/day)
(L/h)/g	(L/h)/g
(L/h)/kg	(L/h)/kg
(L/h)/m2	(L/h)/m2
(L/h)/mg	(L/h)/mg
(L/min)/(mg/d)	(L/min)/(mg/day)
(L/min)/(mg/kg)	(L/min)/(mg/kg)
(L/min)/(mg/kg/d)	(L/min)/(mg/kg/day)
(L/min)/(mg/m2)	(L/min)/(mg/m2)
(L/min)/kg	(L/min)/kg
(L/min)/mg	(L/min)/mg
(L/min)/ug	(L/min)/ug
(mL/d)/(kg/m2)	(mL/day)/(kg/m2)
(mL/d)/(mg/d)	(mL/day)/(mg/day)
(mL/d)/(mg/m2/d)	(mL/day)/(mg/m2/day)
(mL/d)/(ug/d)	(L/day)/(mg/day)
(mL/d)/(ug/kg)	(L/day)/(mg/kg)
(mL/d)/(ug/m2)	(L/day)/(mg/m2)
(mL/d)/(ug/m2/d)	(L/day)/(mg/m2/day)
(mL/d)/g	(L/day)/kg
(mL/d)/mg	(L/day)/g
(mL/d)/ug	(L/day)/mg
(mL/h)/(kg/m2)	(mL/h)/(kg/m2)
(mL/h)/(mg/kg)	(mL/h)/(mg/kg)
(mL/h)/(mg/kg/d)	(mL/h)/(mg/kg/day)
(mL/h)/(ug/d)	(L/h)/(mg/day)
(mL/h)/(ug/kg)	(L/h)/(mg/kg)
(mL/h)/(ug/m2)	(L/h)/(mg/m2)
(mL/h)/(ug/m2/d)	(L/h)/(mg/m2/day)
(mL/h)/g	(L/h)/kg
(mL/h)/ug	(L/h)/mg
(mL/min)/(mg/kg)	(mL/min)/(mg/kg)
(mL/min)/(mg/kg/d)	(mL/min)/(mg/kg/day)
(mL/min)/(ug/d)	(L/min)/(mg/day)
(mL/min)/(ug/kg)	(L/min)/(mg/kg)
(mL/min)/kg	(mL/min)/kg
(mL/min)/m2	(mL/min)/m2
(mL/min)/ug	(L/min)/mg
/(75/10).mL	/7.5 mL
/10^2.[HPF]	/100 HPFs
/10^2.{WBC}	/100 WBC
/10^3	/10^3
/10^4	/10^4
/10^5	/10^5
/200.[HPF]	/200 HPFs
/40.[HPF]	/40 HPFs
/[HPF]	/HPF
/[LPF]	/LPF
/a	PA
/cm[H2O]	/cmH2O
/d	/day
/h	/h
/kg	/kg
/min	/min
/mm	/mm
/mm2	/mm2
/mo	/month
/s	/sec
/wk	/wk
/{LSQN}	/LSQN
/{VF}	/VF
1/(s.kPa)	1/(s*kPa)
10^10/L	10^10/L
10^11/L	10^11/L
10^12.[IU]/L	10^12 IU/L
10^12.[iU]/L	10^12 IU/L
10^12/L	10^12/L
10^2.[IU]/mL	100 IU/mL
10^2.[iU]/mL	100 IU/mL
10^3.[CFU]	10^3 CFU
10^3.[CFU]/g	10^3 CFU/g
10^3.[CFU]/mL	10^3 CFU/mL
10^3.[USP'U]	kUSP
10^3.{DNA copies}/mL	10^3 DNA copies/mL
10^3.{RNA copies}/mL	10^3 RNA copies/mL
10^3.{copies}/mL	10^3 copies/mL
10^3.{organisms}	10^3 organisms
10^3.{organisms}/g	10^3 organisms/g
10^3.{organisms}/mL	10^3 organisms/mL
10^3/L	10^3/L
10^3/[HPF]	10^3/hpf
10^3/mL	10^6/L
10^3/uL	10^9/L
10^4.[CFU]	10^4 CFU
10^4/L	10^4/L
10^4/[HPF]	10^4/hpf
10^5.[HPF]	10^5/hpf
10^5/L	10^5/L
10^6.U	10^6 U
10^6.[CFU]	10^6 CFU
10^6.[CFU]/g	10^6 CFU/g
10^6.[CFU]/mL	10^6 CFU/mL
10^6.[IU]/mL	10^6 IU/mL
10^6.[iU]	10^6 IU
10^6.[iU]/mL	10^6 IU/mL
10^6.{DNA copies}/mL	10^6 DNA copies/mL
10^6.{RNA copies}/mL	10^6 RNA copies/mL
10^6.{copies}/mL	10^6 copies/mL
10^6.{organisms}	10^6 organisms
10^6.{organisms}/g	10^6 organisms/g
10^6.{organisms}/mL	10^6 organisms/mL
10^6.{organisms}/mg	10^6 organisms/mg
10^6/L	10^6/L
10^6/[HPF]	10^6/hpf
10^6/g	10^6/g
10^6/uL	10^12/L
10^6/{Ejaculate U}	10^6/Ejaculate U
10^7.[CFU]	10^7 CFU
10^7/L	10^7/L
10^8/L	10^8/L
10^9.[CFU]	10^9 CFU
10^9.[CFU]/g	10^9 CFU/g
10^9.[CFU]/mL	10^9 CFU/mL
